obsid,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,objtype,class,subclass,z,z_err,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,fibertype,tfrom,tcomment,offsets,offsets_v,ra,dec,fibermask,ra_x,dec_x,errhalfmaj,errhalfmin,errposang,source_id
161101028,J225009.54+013234.7,2013-10-04,56570,56569,EG225232N033308V01,1,28,342.539762,1.542978,3.06,33.61,92.19,116.78,93.34,Star,STAR,G6,-0.0001593436,1.88464e-05,gri,13.87,13.5,13.61,99,99,99,99,LEGUE_LCH,Obj,PS1,-3290671176166119293,0,0,342.539762,1.542978,0,342.53983776114,1.54297529936,3.76e-05,2.58e-05,41.84,2655275574117242368
161101031,J225100.74+013522.2,2013-10-04,56570,56569,EG225232N033308V01,1,31,342.753116,1.589504,0.88,28.34,84.4,114.44,94.95,Star,STAR,G5,-8.2724e-06,1.54774e-05,gri,14.01,13.36,12.74,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103875283,0,0,342.753116,1.589504,0,342.75306954337,1.58945813402,1.32e-05,1.12e-05,50.73,2655366485689518592
161101037,J225035.23+013305.5,2013-10-04,56570,56569,EG225232N033308V01,1,37,342.64681,1.551536,6.92,41.89,92.83,115.6,87.86,Star,STAR,F3,-0.0003802297,4.46309e-05,gri,13.8,13.66,13.13,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103832988,0,0,342.64681,1.551536,0,342.64727434088,1.55161135332,1.48e-05,1.13e-05,43.73,2655274990001685504
161101039,J225120.14+012055.6,2013-10-04,56570,56569,EG225232N033308V01,1,39,342.833929,1.348778,6.67,53.48,129.23,157.08,125.77,Star,STAR,G4,-9.94688e-05,1.54774e-05,gri,13.14,12.28,12.31,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103575594,0,0,342.833929,1.348778,64,342.83404644941,1.34885215946,1.13e-05,9.2e-06,63.1,2655218571311260032
161101044,J225000.88+013230.8,2013-10-04,56570,56569,EG225232N033308V01,1,44,342.503677,1.54189,4.92,47.87,106.49,134.12,104.08,Star,STAR,F9,-0.0001622789,1.87797e-05,gri,13.8,13.98,12.84,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103821950,0,0,342.503677,1.54189,128,342.50375641031,1.54188336796,1.36e-05,1.06e-05,53,2655274264151888256
161101045,J225134.23+013023.4,2013-10-04,56570,56569,EG225232N033308V01,1,45,342.8926547,1.506526,27.68,154.66,293.85,368.84,297.91,Star,STAR,F9,-0.0001032381,1.36094e-05,gri,11.74,10.92,10.89,99,99,99,99,LEGUE_LCH,Obj,UCAC4,"<offset,10.92, 342.892450000,   1.506526000,0.74>10377729",1,0.74,342.89245,1.506526,64,342.89246046071,1.50650654249,1.72e-05,1.33e-05,49.7,2655317213824699904
161101048,J225105.17+013534.1,2013-10-04,56570,56569,EG225232N033308V01,1,48,342.771571,1.592821,18.89,123.19,244.97,309.4,255.54,Star,STAR,G7,-4.11952e-05,1.34426e-05,gri,12.12,11.58,10.97,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103878842,0,0,342.771571,1.592821,64,342.77155526794,1.59282936963,1.62e-05,1.32e-05,40.03,2655366318186173568
161101049,J225146.52+012656.7,2013-10-04,56570,56569,EG225232N033308V01,1,49,342.943843,1.449095,1.06,15.37,49.21,66.2,50.25,Star,STAR,K3,-0.0001265209,1.21417e-05,gri,14.55,13.44,13.27,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103694864,0,0,342.943843,1.449095,128,342.94402076221,1.4489851288,1.6e-05,1.31e-05,51.89,2655313541628035840
161101053,J225056.75+014140.7,2013-10-04,56570,56569,EG225232N033308V01,1,53,342.736466,1.694652,2.47,26.82,74.11,96.29,71.83,Star,STAR,G1,2.1015e-06,2.10479e-05,gri,14.21,13.81,13.83,99,99,99,99,LEGUE_LCH,Obj,PS1,-3290653583980074872,0,0,342.736466,1.694652,0,342.73650765879,1.69464368298,1.73e-05,1.58e-05,28.09,2655372296780728064
161101057,J225024.35+013908.3,2013-10-04,56570,56569,EG225232N033308V01,1,57,342.601475,1.652318,6.93,61.6,131,167.12,130.72,Star,STAR,G5,-6.23098e-05,1.59777e-05,gri,13.56,13.77,12.62,99,99,99,99,LEGUE_LCH,Obj,UCAC4,103945042,0,0,342.601475,1.652318,64,342.60157299037,1.65230523373,1.34e-05,1.05e-05,65.37,2655382158025550208
161101060,J225036.72+014829.8,2013-10-04,56570,56569,EG225232N033308V01,1,60,342.653035,1.808286,1.1,34.39,106.78,159.27,137.77,Star,STAR,K7,-2.25489e-05,1.32425e-05,gri,14.5,13.56,12.65,99,99,99,99,LEGUE_LCH,Obj,UCAC4,104115227,0,0,342.653035,1.808286,0,342.65306668074,1.80826655395,0.0003074,0.000261,68.42,2655385903237143552
