Product/VAC name,CSVs generated,Testload,Available CasJobs,Metadata added?,Publish to BestDR20,SQL,CSV,Downloaded CSV,Notes,CSV reloading finished?,VAC Announcement,DB table Name(s),Extra indices needed,Spatial search needed?
spall,TRUE,TRUE,TRUE,FALSE,TRUE,https://github.com/sdss/casload/tree/boss-ipl4/sql/spall.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/ebCSV/spAll.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\ebCSV\spAll.csv,,,,spall,,
spall_epoch,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/boss-ipl4/sql/spall_epoch.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/ebCSV/spAll_epoch.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\ebCSV\spAll_epoch.csv,,,,spall_epoch,,
spAll_allepoch,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/boss-ipl4/sql/spall_allepoch.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/ebCSV/spAll_allepoch.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\ebCSV\spAll_allepoch.csv,,,,spall_allepoch,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
lvm_drpall,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/master/sql/lvm/lvm_drpall.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/lvmCSV/lvm_drpall.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\lvmCSV\lvm_drpall.csv,,,,lvm_drpall,,
lvm_dapall,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/master/sql/lvm/lvm_dapall.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/lvmCSV/lvm_dapall.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\lvmCSV\lvm_dapall.csv,,,,lvm_dapall,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
minidb,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
VAC 05 - MWM_STELLAR_AGE,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_05/sql/MWM/gyro_age_dwarf.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/Stellar-Age_VAC/gyro_age_dwarf.csv,\\\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\stellar-age\gyro_age_dwarf.csv,,,,gyro_age_dwarf,,
VAC 18 - MWM_YSO,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_18/sql/MWM/yso_ob_kin.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/yso_ob_kin_VAC/yso_ob_kin.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\yso\ob-kin\yso_ob_kin.csv,,,,yso_ob_kin,,
