name,ra,dec,B,BErr,nB_tot,nB,V,VErr,nV_tot,nV,R,RErr,nR_tot,nR,I,IErr,nI_tot,nI,vary,objID
BLLac-S101,330.66878,42.24501,14.272,,,5,13.009,,,17,,,,0,,,,0,0.013,
BLLac-S103,330.66817,42.31655,15.150,,,5,14.355,,,17,,,,0,,,,0,0.005,
BLLac-S105,330.66703,42.28610,15.147,,,5,14.278,,,17,,,,0,,,,0,0.012,
BLLac-S107,330.66502,42.24431,18.783,,,5,17.684,,,17,,,,0,,,,0,0.018,
BLLac-S114,330.66241,42.26669,19.452,,,5,18.736,,,17,,,,0,,,,0,0.005,
BLLac-S115,330.66206,42.24425,15.230,,,5,14.460,,,17,,,,0,,,,0,0.003,
BLLac-S116,330.66186,42.31137,19.022,,,5,18.092,,,17,,,,0,,,,0,0.015,
BLLac-S118,330.66122,42.28558,17.980,,,5,17.137,,,17,,,,0,,,,0,-0.001,
BLLac-S120,330.66093,42.30961,19.564,,,5,18.393,,,17,,,,0,,,,0,-0.005,
BLLac-S127,330.65470,42.30467,19.073,,,5,17.758,,,17,,,,0,,,,0,0.012,
BLLac-S128,330.65371,42.30396,17.540,,,5,16.563,,,17,,,,0,,,,0,0.013,
BLLac-S130,330.65112,42.30883,15.059,,,5,14.259,,,17,,,,0,,,,0,0.006,
BLLac-S131,330.65038,42.28169,16.380,,,5,15.578,,,17,,,,0,,,,0,0.006,
BLLac-S132,330.64973,42.24323,18.271,,,5,17.378,,,17,,,,0,,,,0,-0.002,
BLLac-S133,330.64901,42.31686,19.211,,,5,18.217,,,17,,,,0,,,,0,0.006,
BLLac-S134,330.64616,42.31355,15.134,,,5,14.200,,,17,,,,0,,,,0,0.006,
BLLac-S137,330.64312,42.29507,18.690,,,5,17.786,,,17,,,,0,,,,0,0.002,
BLLac-S141,330.63966,42.27436,19.294,,,5,18.243,,,17,,,,0,,,,0,-0.005,
BLLac-S142,330.63961,42.28469,18.960,,,5,17.674,,,17,,,,0,,,,0,0.011,
BLLac-S146,330.63796,42.26838,18.227,,,5,17.400,,,17,,,,0,,,,0,0.004,
BLLac-S149,330.63610,42.27990,15.754,,,5,14.462,,,17,,,,0,,,,0,0.020,
BLLac-S15,330.72026,42.31998,19.404,,,5,18.393,,,17,,,,0,,,,0,0.010,
BLLac-S151,330.63573,42.27028,19.292,,,5,18.286,,,17,,,,0,,,,0,0.006,
BLLac-S154,330.63476,42.25151,18.532,,,5,17.489,,,17,,,,0,,,,0,0.016,
BLLac-S159,330.63143,42.24885,19.515,,,5,18.730,,,17,,,,0,,,,0,0.006,
BLLac-S16,330.71791,42.27845,18.398,,,5,17.070,,,17,,,,0,,,,0,0.018,
BLLac-S164,330.63032,42.26130,16.892,,,5,16.069,,,17,,,,0,,,,0,0.003,
BLLac-S168,330.62865,42.30274,18.937,,,5,17.997,,,17,,,,0,,,,0,0.020,
BLLac-S170,330.62759,42.31668,16.335,,,5,15.301,,,17,,,,0,,,,0,0.009,
BLLac-S171,330.62718,42.25112,18.737,,,5,17.771,,,17,,,,0,,,,0,0.024,
BLLac-S175,330.62513,42.30157,18.132,,,5,17.052,,,17,,,,0,,,,0,0.005,
BLLac-S178,330.62394,42.24297,19.475,,,5,18.604,,,15,,,,0,,,,0,-0.002,
BLLac-S18,330.71628,42.29004,18.946,,,5,17.465,,,17,,,,0,,,,0,-0.002,
BLLac-S182,330.62041,42.27957,18.046,,,5,16.812,,,14,,,,0,,,,0,0.005,
BLLac-S184,330.61884,42.32478,17.340,,,5,16.358,,,14,,,,0,,,,0,0.021,
BLLac-S187,330.61583,42.27947,19.326,,,5,18.389,,,14,,,,0,,,,0,0.017,
BLLac-S188,330.61563,42.24699,16.737,,,5,15.783,,,14,,,,0,,,,0,0.009,
BLLac-S192,330.61547,42.30981,19.236,,,5,18.289,,,14,,,,0,,,,0,-0.003,
BLLac-S21,330.71463,42.25866,17.360,,,5,16.161,,,17,,,,0,,,,0,0.000,
BLLac-S38,330.70185,42.24747,17.018,,,5,15.983,,,17,,,,0,,,,0,0.007,
BLLac-S39,330.70136,42.31294,15.488,,,5,14.686,,,17,,,,0,,,,0,0.007,
BLLac-S43,330.69857,42.32663,19.078,,,5,17.952,,,17,,,,0,,,,0,0.023,
BLLac-S44,330.69805,42.31144,18.872,,,5,17.979,,,17,,,,0,,,,0,0.001,
BLLac-S48,330.69569,42.26458,18.748,,,5,17.670,,,17,,,,0,,,,0,-0.001,
BLLac-S5,330.72798,42.26759,18.137,,,5,17.121,,,17,,,,0,,,,0,0.006,
BLLac-S52,330.69523,42.24669,17.108,,,5,16.347,,,17,,,,0,,,,0,0.007,
BLLac-S55,330.69430,42.30770,19.478,,,5,18.396,,,17,,,,0,,,,0,0.005,
BLLac-S56,330.69370,42.25811,18.457,,,5,17.539,,,17,,,,0,,,,0,0.007,
BLLac-S59,330.69312,42.28237,16.929,,,5,15.981,,,17,,,,0,,,,0,0.011,
BLLac-S61,330.69239,42.31373,17.187,,,5,16.321,,,17,,,,0,,,,0,0.015,
BLLac-S62,330.69226,42.30917,15.521,,,5,14.122,,,17,,,,0,,,,0,0.003,
BLLac-S65,330.69024,42.26991,19.177,,,5,17.984,,,17,,,,0,,,,0,0.009,
BLLac-S66,330.68975,42.26682,17.068,,,5,16.125,,,17,,,,0,,,,0,0.015,
BLLac-S69,330.68933,42.27658,14.602,,,5,12.947,,,17,,,,0,,,,0,0.010,
BLLac-S71,330.68790,42.24569,17.372,,,5,16.284,,,17,,,,0,,,,0,0.008,
BLLac-S79,330.68293,42.25805,16.440,,,5,15.723,,,17,,,,0,,,,0,0.004,
BLLac-S81,330.68240,42.26536,18.663,,,5,17.642,,,17,,,,0,,,,0,0.016,
BLLac-S83,330.67967,42.26017,17.502,,,5,16.674,,,17,,,,0,,,,0,0.008,
BLLac-S89,330.67696,42.32418,19.111,,,5,18.194,,,17,,,,0,,,,0,0.014,
BLLac-S9,330.72349,42.29674,14.318,,,5,13.299,,,17,,,,0,,,,0,0.013,
BLLac-S97,330.67160,42.25865,16.838,,,5,16.108,,,17,,,,0,,,,0,-0.001,
Car-S1,99.98185,-50.98623,,,,0,19.959,,,5,,,,0,17.706,,,12,0.008,
Car-S10,100.00759,-50.89200,,,,0,18.482,,,6,,,,0,16.709,,,16,0.010,
Car-S100,100.13960,-50.80962,19.697,,,6,18.383,,,6,,,,0,16.753,,,22,-0.001,
Car-S1003,100.85130,-50.89075,,,,0,18.076,,,5,,,,0,17.004,,,10,0.039,
Car-S1005,100.85597,-50.92251,,,,0,17.049,,,5,,,,0,15.899,,,7,0.024,
Car-S1007,100.86223,-50.90604,,,,0,16.651,,,5,,,,0,15.806,,,9,0.010,
Car-S1008,100.86969,-50.86748,,,,0,17.111,,,5,,,,0,15.935,,,5,0.007,
Car-S101,100.13796,-50.96879,18.587,,,8,17.991,,,6,,,,0,17.241,,,24,0.006,
Car-S102,100.14093,-50.84361,18.256,,,6,17.542,,,6,,,,0,16.697,,,22,-0.001,
Car-S103,100.14222,-50.93814,18.938,,,8,18.807,,,6,,,,0,18.561,,,24,0.010,
Car-S104,100.14397,-50.80938,19.420,,,6,18.413,,,6,,,,0,17.284,,,22,0.004,
Car-S105,100.14367,-50.86928,17.437,,,6,16.750,,,6,,,,0,15.946,,,22,0.016,
Car-S106,100.14478,-50.78940,20.202,,,6,18.722,,,6,,,,0,16.738,,,22,-0.001,
Car-S107,100.14441,-50.91645,20.174,,,6,18.782,,,6,,,,0,17.007,,,22,0.011,
Car-S108,100.14672,-50.80367,15.801,,,6,,,,0,,,,0,14.036,,,14,0.028,
Car-S109,100.14605,-50.98834,21.460,,,6,19.758,,,5,,,,0,17.126,,,18,0.010,
